imdb_id,title,wiki
tt0082971,Raiders of the Lost Ark,https://en.wikipedia.org/?curid=54166
tt0087469,Indiana Jones and the Temple of Doom,https://en.wikipedia.org/?curid=81503
tt0097576,Indiana Jones and the Last Crusade,https://en.wikipedia.org/?curid=51888
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,https://en.wikipedia.org/?curid=1252914
tt0120915,Star Wars: Episode I - The Phantom Menace,https://en.wikipedia.org/?curid=50793
tt0121765,Star Wars: Episode II - Attack of the Clones,https://en.wikipedia.org/?curid=50957
tt0121766,Star Wars: Episode III - Revenge of the Sith,https://en.wikipedia.org/?curid=55447
tt0076759,Star Wars: Episode IV - A New Hope,https://en.wikipedia.org/?curid=52549
tt0080684,Star Wars: Episode V - The Empire Strikes Back,https://en.wikipedia.org/?curid=53964
tt0086190,Star Wars: Episode VI - Return of the Jedi,https://en.wikipedia.org/?curid=50744
tt2488496,Star Wars: Episode VII - The Force Awakens,https://en.wikipedia.org/?curid=14723194
tt1099212,Twilight,https://en.wikipedia.org/?curid=14277334
tt1259571,The Twilight Saga: New Moon,https://en.wikipedia.org/?curid=20672258
tt1325004,The Twilight Saga: Eclipse,https://en.wikipedia.org/?curid=21678052
tt1324999,The Twilight Saga: Breaking Dawn - Part 1,https://en.wikipedia.org/?curid=26581256
tt1673434,The Twilight Saga: Breaking Dawn - Part 2,https://en.wikipedia.org/?curid=34418416
tt0266697,Kill Bill: Vol. 1,https://en.wikipedia.org/?curid=301314
tt0378194,Kill Bill: Vol. 2,https://en.wikipedia.org/?curid=525270
tt0087332,Ghostbusters,https://en.wikipedia.org/?curid=205013
tt0097428,Ghostbusters II,https://en.wikipedia.org/?curid=618929
tt0114709,Toy Story,https://en.wikipedia.org/?curid=53085
tt0120363,Toy Story 2,https://en.wikipedia.org/?curid=335298
tt0435761,Toy Story 3,https://en.wikipedia.org/?curid=1213838
tt0061584,Doctor Dolittle,https://en.wikipedia.org/?curid=99015
tt0240462,Dr. Dolittle 2,https://en.wikipedia.org/?curid=735291
tt0111257,Speed,https://en.wikipedia.org/?curid=99123
tt0120179,Speed 2: Cruise Control,https://en.wikipedia.org/?curid=1046769
tt0175142,Scary Movie,https://en.wikipedia.org/?curid=277667
tt0257106,Scary Movie 2,https://en.wikipedia.org/?curid=532618
tt0306047,Scary Movie 3,https://en.wikipedia.org/?curid=880056
tt0362120,Scary Movie 4,https://en.wikipedia.org/?curid=2486990
tt0795461,Scary Movie 5,https://en.wikipedia.org/?curid=32084755
tt0298130,The Ring,https://en.wikipedia.org/?curid=62668
tt0377109,The Ring Two,https://en.wikipedia.org/?curid=30871261
tt0092076,The Texas Chainsaw Massacre 2,https://en.wikipedia.org/?curid=397753
tt0099994,Leatherface: Texas Chainsaw Massacre III,https://en.wikipedia.org/?curid=2609817
tt0110978,Texas Chainsaw Massacre: The Next Generation,https://en.wikipedia.org/?curid=2742915
tt0324216,The Texas Chainsaw Massacre,https://en.wikipedia.org/?curid=3231682
tt0420294,The Texas Chainsaw Massacre: The Beginning,https://en.wikipedia.org/?curid=3237559
tt0072271,The Texas Chain Saw Massacre,https://en.wikipedia.org/?curid=29781
tt0212338,Meet the Parents,https://en.wikipedia.org/?curid=695023
tt0290002,Meet the Fockers,https://en.wikipedia.org/?curid=962010
tt0970866,Little Fockers,https://en.wikipedia.org/?curid=23092448
tt0159273,Behind Enemy Lines,https://en.wikipedia.org/?curid=732851
tt0160127,Charlie's Angels,https://en.wikipedia.org/?curid=342692
tt0305357,Charlie's Angels: Full Throttle,https://en.wikipedia.org/?curid=256337
tt0112442,Bad Boys,https://en.wikipedia.org/?curid=673613
tt0172156,Bad Boys II,https://en.wikipedia.org/?curid=1037237
tt0391198,The Grudge,https://en.wikipedia.org/?curid=1094719
tt0433386,The Grudge 2,https://en.wikipedia.org/?curid=3226774
tt1053859,The Grudge 3,https://en.wikipedia.org/?curid=6142808
tt0289879,The Butterfly Effect,https://en.wikipedia.org/?curid=454208
tt0457297,The Butterfly Effect 2,https://en.wikipedia.org/?curid=3616144
tt1234541,The Butterfly Effect 3: Revelations,https://en.wikipedia.org/?curid=18901478
tt0366551,Harold & Kumar Go to White Castle,https://en.wikipedia.org/?curid=555297
tt0481536,Harold & Kumar Escape from Guantanamo Bay,https://en.wikipedia.org/?curid=555297
tt1268799,A Very Harold & Kumar 3D Christmas,https://en.wikipedia.org/?curid=-1
tt0164052,Hollow Man,https://en.wikipedia.org/?curid=1332901
tt0120201,Starship Troopers,https://en.wikipedia.org/?curid=203841
tt0844760,Starship Troopers 3: Marauder,https://en.wikipedia.org/?curid=6845157
tt0268380,Ice Age,https://en.wikipedia.org/?curid=34044456
tt0438097,Ice Age: The Meltdown,https://en.wikipedia.org/?curid=2303174
tt1080016,Ice Age: Dawn of the Dinosaurs,https://en.wikipedia.org/?curid=12260598
tt1667889,Ice Age: Continental Drift,https://en.wikipedia.org/?curid=29609480
tt0351283,Madagascar,https://en.wikipedia.org/?curid=17901688
tt0479952,Madagascar: Escape 2 Africa,https://en.wikipedia.org/?curid=3858746
tt1277953,Madagascar 3: Europe's Most Wanted,https://en.wikipedia.org/?curid=21153376
tt0441773,Kung Fu Panda,https://en.wikipedia.org/?curid=3248340
tt1302011,Kung Fu Panda 2,https://en.wikipedia.org/?curid=23217064
tt2267968,Kung Fu Panda 3,https://en.wikipedia.org/?curid=41788608
tt0317219,Cars,https://en.wikipedia.org/?curid=920613
tt1216475,Cars 2,https://en.wikipedia.org/?curid=16839388
tt0110357,The Lion King,https://en.wikipedia.org/?curid=88678
tt0097757,The Little Mermaid,https://en.wikipedia.org/?curid=301574
tt0337697,The Prince and Me,https://en.wikipedia.org/?curid=1096949
tt0247638,The Princess Diaries,https://en.wikipedia.org/?curid=564986
tt0368933,The Princess Diaries 2: Royal Engagement,https://en.wikipedia.org/?curid=733213
tt0243155,Bridget Jones's Diary,https://en.wikipedia.org/?curid=1774803
tt0317198,Bridget Jones: The Edge of Reason,https://en.wikipedia.org/?curid=1157124
tt1473832,Bridget Jones's Baby,https://en.wikipedia.org/?curid=47438451
tt0120762,Mulan,https://en.wikipedia.org/?curid=55720
tt0034492,Bambi,https://en.wikipedia.org/?curid=683122
tt0447854,Bambi II,https://en.wikipedia.org/?curid=2877925
tt0258463,The Bourne Identity,https://en.wikipedia.org/?curid=963986
tt0372183,The Bourne Supremacy,https://en.wikipedia.org/?curid=870946
tt0440963,The Bourne Ultimatum,https://en.wikipedia.org/?curid=1854000
tt1194173,The Bourne Legacy,https://en.wikipedia.org/?curid=29270563
tt4196776,Jason Bourne,https://en.wikipedia.org/?curid=43844230
tt0800320,Clash of the Titans,https://en.wikipedia.org/?curid=22358819
tt1646987,Wrath of the Titans,https://en.wikipedia.org/?curid=30470648
tt0373883,Halloween,https://en.wikipedia.org/?curid=3623103
tt0295700,Wrong Turn,https://en.wikipedia.org/?curid=1380847
tt1865567,Wrong Turn 4: Bloody Beginnings,https://en.wikipedia.org/?curid=31296081
tt0822832,Marley & Me,https://en.wikipedia.org/?curid=39718544
tt1014775,Beverly Hills Chihuahua,https://en.wikipedia.org/?curid=11779733
tt0477347,Night at the Museum,https://en.wikipedia.org/?curid=4167411
tt1078912,Night at the Museum: Battle of the Smithsonian,https://en.wikipedia.org/?curid=18764957
tt0038348,Beauty and the Beast,https://en.wikipedia.org/?curid=1226363
tt1661199,Cinderella,https://en.wikipedia.org/?curid=40038204
tt0356470,A Cinderella Story,https://en.wikipedia.org/?curid=466340
tt0357507,Boogeyman,https://en.wikipedia.org/?curid=1469695
tt0900357,Boogeyman 2,https://en.wikipedia.org/?curid=8475191
tt0114194,The Prophecy,https://en.wikipedia.org/?curid=2282187
tt0257076,S.W.A.T.,https://en.wikipedia.org/?curid=781629
tt0075005,The Omen,https://en.wikipedia.org/?curid=186856
tt0077394,Damien: Omen II,https://en.wikipedia.org/?curid=2251161
tt0082377,The Final Conflict,https://en.wikipedia.org/?curid=2474297
tt0462590,Step Up,https://en.wikipedia.org/?curid=5429993
tt1023481,Step Up 2: The Streets,https://en.wikipedia.org/?curid=11222156
tt1193631,Step Up 3D,https://en.wikipedia.org/?curid=22845644
tt1800741,Step Up Revolution,https://en.wikipedia.org/?curid=31795894
tt0087538,The Karate Kid,https://en.wikipedia.org/?curid=91133
tt0091326,The Karate Kid Part II,https://en.wikipedia.org/?curid=1107088
tt0097647,The Karate Kid Part III,https://en.wikipedia.org/?curid=2353104
tt0110657,The Next Karate Kid,https://en.wikipedia.org/?curid=657809
tt0120616,The Mummy,https://en.wikipedia.org/?curid=253828
tt0209163,The Mummy Returns,https://en.wikipedia.org/?curid=957359
tt0859163,The Mummy: Tomb of the Dragon Emperor,https://en.wikipedia.org/?curid=957331
tt0952640,Alvin and the Chipmunks,https://en.wikipedia.org/?curid=11244593
tt1231580,Alvin and the Chipmunks: The Squeakquel,https://en.wikipedia.org/?curid=22937227
tt1615918,Alvin and the Chipmunks: Chipwrecked,https://en.wikipedia.org/?curid=32506361
tt0119675,Mimic,https://en.wikipedia.org/?curid=1168522
tt0101272,The Addams Family,https://en.wikipedia.org/?curid=26742350
tt0106220,Addams Family Values,https://en.wikipedia.org/?curid=876872
tt0108171,Sniper,https://en.wikipedia.org/?curid=410832
tt1571243,Sniper: Reloaded,https://en.wikipedia.org/?curid=30786877
tt1000774,Sex and the City,https://en.wikipedia.org/?curid=13239722
tt1261945,Sex and the City 2,https://en.wikipedia.org/?curid=23091532
tt0110475,The Mask,https://en.wikipedia.org/?curid=1485962
tt0362165,Son of the Mask,https://en.wikipedia.org/?curid=1402997
tt0057413,The Pink Panther,https://en.wikipedia.org/?curid=2609169
tt0838232,The Pink Panther 2,https://en.wikipedia.org/?curid=5278636
tt0102926,The Silence of the Lambs,https://en.wikipedia.org/?curid=30006
tt0212985,Hannibal,https://en.wikipedia.org/?curid=623452
tt0289765,Red Dragon,https://en.wikipedia.org/?curid=698242
tt0367959,Hannibal Rising,https://en.wikipedia.org/?curid=1976777
tt0091474,Manhunter,https://en.wikipedia.org/?curid=600235
tt1179056,A Nightmare on Elm Street,https://en.wikipedia.org/?curid=23286957
tt0101917,Freddy's Dead: The Final Nightmare,https://en.wikipedia.org/?curid=2933385
tt0111686,New Nightmare,https://en.wikipedia.org/?curid=347235
tt0329101,Freddy vs. Jason,https://en.wikipedia.org/?curid=714334
tt0758746,Friday the 13th,https://en.wikipedia.org/?curid=13053911
tt0082418,Friday the 13th Part 2,https://en.wikipedia.org/?curid=2274938
tt0083972,Friday the 13th Part III,https://en.wikipedia.org/?curid=2317340
tt0087298,Friday the 13th: The Final Chapter,https://en.wikipedia.org/?curid=2546429
tt0089173,Friday the 13th: A New Beginning,https://en.wikipedia.org/?curid=2328364
tt0091080,Jason Lives: Friday the 13th Part VI,https://en.wikipedia.org/?curid=2313660
tt0095179,Friday the 13th Part VII: The New Blood,https://en.wikipedia.org/?curid=2546472
tt0097388,Friday the 13th Part VIII: Jason Takes Manhattan,https://en.wikipedia.org/?curid=2351932
tt0107254,Jason Goes to Hell: The Final Friday,https://en.wikipedia.org/?curid=2375811
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,https://en.wikipedia.org/?curid=321496
tt0383574,Pirates of the Caribbean: Dead Man's Chest,https://en.wikipedia.org/?curid=999394
tt0449088,Pirates of the Caribbean: At World's End,https://en.wikipedia.org/?curid=1689394
tt1298650,Pirates of the Caribbean: On Stranger Tides,https://en.wikipedia.org/?curid=24314116
tt0146316,Lara Croft: Tomb Raider,https://en.wikipedia.org/?curid=49800
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,https://en.wikipedia.org/?curid=443011
tt0068646,The Godfather,https://en.wikipedia.org/?curid=2466773
tt0071562,The Godfather: Part II,https://en.wikipedia.org/?curid=73875
tt0099674,The Godfather: Part III,https://en.wikipedia.org/?curid=129644
tt0240772,Ocean's Eleven,https://en.wikipedia.org/?curid=2251266
tt0349903,Ocean's Twelve,https://en.wikipedia.org/?curid=1046470
tt0496806,Ocean's Thirteen,https://en.wikipedia.org/?curid=3723947
tt0063442,Planet of the Apes,https://en.wikipedia.org/?curid=18618306
tt0065462,Beneath the Planet of the Apes,https://en.wikipedia.org/?curid=152058
tt0067065,Escape from the Planet of the Apes,https://en.wikipedia.org/?curid=303928
tt0068408,Conquest of the Planet of the Apes,https://en.wikipedia.org/?curid=657159
tt0069768,Battle for the Planet of the Apes,https://en.wikipedia.org/?curid=709860
tt1318514,Rise of the Planet of the Apes,https://en.wikipedia.org/?curid=27279709
tt0349205,Cheaper by the Dozen,https://en.wikipedia.org/?curid=456588
tt0452598,Cheaper by the Dozen 2,https://en.wikipedia.org/?curid=1922815
tt0109040,Ace Ventura: Pet Detective,https://en.wikipedia.org/?curid=336808
tt0112281,Ace Ventura: When Nature Calls,https://en.wikipedia.org/?curid=537416
tt1320253,The Expendables,https://en.wikipedia.org/?curid=20996974
tt1764651,The Expendables 2,https://en.wikipedia.org/?curid=33276254
tt1046173,G.I. Joe: The Rise of Cobra,https://en.wikipedia.org/?curid=13734892
tt1583421,G.I. Joe: Retaliation,https://en.wikipedia.org/?curid=32910742
tt0120390,Turbulence,https://en.wikipedia.org/?curid=2472440
tt0105698,Universal Soldier,https://en.wikipedia.org/?curid=3948455
tt0176269,Universal Soldier: The Return,https://en.wikipedia.org/?curid=4501185
tt1288403,Universal Soldier: Regeneration,https://en.wikipedia.org/?curid=22092460
tt1659343,Universal Soldier: Day of Reckoning,https://en.wikipedia.org/?curid=30951480
tt0190374,Dungeons & Dragons,https://en.wikipedia.org/?curid=619810
tt0406728,Dungeons & Dragons: Wrath of the Dragon God,https://en.wikipedia.org/?curid=619810
tt0127536,Elizabeth,https://en.wikipedia.org/?curid=142461
tt0414055,Elizabeth: The Golden Age,https://en.wikipedia.org/?curid=1027060
tt0241527,Harry Potter and the Sorcerer's Stone,https://en.wikipedia.org/?curid=667361
tt0295297,Harry Potter and the Chamber of Secrets,https://en.wikipedia.org/?curid=667368
tt0304141,Harry Potter and the Prisoner of Azkaban,https://en.wikipedia.org/?curid=667371
tt0330373,Harry Potter and the Goblet of Fire,https://en.wikipedia.org/?curid=667372
tt0373889,Harry Potter and the Order of the Phoenix,https://en.wikipedia.org/?curid=670407
tt0417741,Harry Potter and the Half-Blood Prince,https://en.wikipedia.org/?curid=858575
tt0926084,Harry Potter and the Deathly Hallows: Part 1,https://en.wikipedia.org/?curid=9834441
tt1201607,Harry Potter and the Deathly Hallows: Part 2,https://en.wikipedia.org/?curid=31941988
tt0382625,The Da Vinci Code,https://en.wikipedia.org/?curid=1908238
tt0808151,Angels & Demons,https://en.wikipedia.org/?curid=32711731
tt0092890,Dirty Dancing,https://en.wikipedia.org/?curid=680361
tt0338096,Dirty Dancing: Havana Nights,https://en.wikipedia.org/?curid=1373852
tt0246578,Donnie Darko,https://en.wikipedia.org/?curid=57820
tt1231277,S. Darko,https://en.wikipedia.org/?curid=17346283
tt0259324,Ghost Rider,https://en.wikipedia.org/?curid=2246413
tt1071875,Ghost Rider: Spirit of Vengeance,https://en.wikipedia.org/?curid=29007308
tt0070047,The Exorcist,https://en.wikipedia.org/?curid=725459
tt0076009,Exorcist II: The Heretic,https://en.wikipedia.org/?curid=571383
tt0099528,The Exorcist III,https://en.wikipedia.org/?curid=30873695
tt0204313,Exorcist: The Beginning,https://en.wikipedia.org/?curid=919546
tt0449086,Dominion: Prequel to the Exorcist,https://en.wikipedia.org/?curid=2074089
tt1320244,The Last Exorcism,https://en.wikipedia.org/?curid=26588977
tt0120902,The X Files,https://en.wikipedia.org/?curid=1078863
